date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:34:15	27640/27640	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:12:03%20GMT	http://www.w3schools.com/	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/index.html	(from )
08:34:15	228/228	------	200	untouched ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	http://www.w3schools.com/robots.txt		(from )
08:34:16	156/156	------	302	error ('')	text/html		http://www.w3schools.com/forum/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/forum/default.8.delayed	(from http://www.w3schools.com/)
08:34:16	32988/32988	------	200	untouched ('')	image/x-icon	etag:%22d19e59b6626cf1:0%22	http://www.w3schools.com/favicon.ico	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/favicon.ico	(from http://www.w3schools.com/)
08:34:16	29097/29097	------	200	untouched ('OK')	text/css	etag:%22e5cb1816444d21:0%22	http://www.w3schools.com/lib/w3.css	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/lib/w3.css	(from http://www.w3schools.com/)
08:34:16	27809/27809	------	200	untouched ('')	text/javascript	date:Mon,%2015%20Aug%202016%2004:25:11%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/W3SKUL/www.google-analytics.com/analytics.js	(from http://www.w3schools.com/)
08:34:16	9724/9724	------	200	untouched ('')	application/octet-stream	etag:%2203417d2c86fd11:0%22	http://www.w3schools.com/lib/fonts/fontawesome.eot?14663396	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/lib/fonts/fontawesome8deb.eot	(from http://www.w3schools.com/)
08:34:16	5976/5976	------	200	untouched ('')	application/font-woff	etag:%22de9326d3c86fd11:0%22	http://www.w3schools.com/lib/fonts/fontawesome.woff?14663396	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/lib/fonts/fontawesome8deb.woff	(from http://www.w3schools.com/)
08:34:16	9540/9540	------	200	untouched ('')	application/octet-stream	etag:%22b7ac9cdc86fd11:0%22	http://www.w3schools.com/lib/fonts/fontawesome.ttf?14663396	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/lib/fonts/fontawesome8deb.ttf	(from http://www.w3schools.com/)
08:34:16	8841/8841	------	200	untouched ('OK')	image/svg+xml	etag:%220cdb5cfc86fd11:0%22	http://www.w3schools.com/lib/fonts/fontawesome.svg?14663396	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/lib/fonts/fontawesome8deb.svg	(from http://www.w3schools.com/)
08:34:16	33616/33616	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:37:33%20GMT	http://www.w3schools.com/html/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/html/default.html	(from http://www.w3schools.com/)
08:34:16	0/-1	---M--	302	error ('')			http://www.w3schools.com/forum/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/forum/default.9.delayed	(from http://www.w3schools.com/)
08:34:16	34652/34652	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:21:51%20GMT	http://www.w3schools.com/css/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/css/default.html	(from http://www.w3schools.com/)
08:34:16	33645/33645	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:53:26%20GMT	http://www.w3schools.com/w3css/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/w3css/default.html	(from http://www.w3schools.com/)
08:34:16	33895/33895	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:36:11%20GMT	http://www.w3schools.com/colors/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/colors/default.html	(from http://www.w3schools.com/)
08:34:16	35633/35633	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:01:55%20GMT	http://www.w3schools.com/bootstrap/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/bootstrap/default.html	(from http://www.w3schools.com/)
08:34:16	33233/33233	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:39:10%20GMT	http://www.w3schools.com/icons/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/icons/default.html	(from http://www.w3schools.com/)
08:34:16	31762/31762	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:44:36%20GMT	http://www.w3schools.com/graphics/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/graphics/default.html	(from http://www.w3schools.com/)
08:34:16	85320/85320	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:22:17%20GMT	http://www.w3schools.com/howto/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/howto/default.html	(from http://www.w3schools.com/)
08:34:16	35530/35530	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:25:07%20GMT	http://www.w3schools.com/js/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/js/default.html	(from http://www.w3schools.com/)
08:34:16	29939/29939	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:56:22%20GMT	http://www.w3schools.com/jquery/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/jquery/default.html	(from http://www.w3schools.com/)
08:34:16	30294/30294	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:46:13%20GMT	http://www.w3schools.com/jquerymobile/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/jquerymobile/default.html	(from http://www.w3schools.com/)
08:34:16	31454/31454	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:16:28%20GMT	http://www.w3schools.com/appml/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/appml/default.html	(from http://www.w3schools.com/)
08:34:16	29723/29723	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:35:21%20GMT	http://www.w3schools.com/angular/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/angular/default.html	(from http://www.w3schools.com/)
08:34:16	27959/27959	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:27:49%20GMT	http://www.w3schools.com/json/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/json/default.html	(from http://www.w3schools.com/)
08:34:16	31937/31937	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:13:16%20GMT	http://www.w3schools.com/sql/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/sql/default.html	(from http://www.w3schools.com/)
08:34:16	34691/34691	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:31:59%20GMT	http://www.w3schools.com/php/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/php/default.html	(from http://www.w3schools.com/)
08:34:16	33708/33708	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:59:59%20GMT	http://www.w3schools.com/asp/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/asp/default.html	(from http://www.w3schools.com/)
08:34:16	43270/43270	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:17:07%20GMT	http://www.w3schools.com/w3css/w3css_templates.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/w3css/w3css_templates.html	(from http://www.w3schools.com/)
08:34:16	61260/61260	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:56:40%20GMT	http://www.w3schools.com/browsers/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/browsers/default.html	(from http://www.w3schools.com/)
08:34:16	31420/31420	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2008:18:28%20GMT	http://www.w3schools.com/cert/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/cert/default.html	(from http://www.w3schools.com/)
08:34:16	38718/38718	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:35:03%20GMT	http://www.w3schools.com/xml/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/xml/default.html	(from http://www.w3schools.com/)
08:34:16	31684/31684	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:44:52%20GMT	http://www.w3schools.com/xsl/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/xsl/default.html	(from http://www.w3schools.com/)
08:34:16	28858/28858	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:13:33%20GMT	http://www.w3schools.com/ajax/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/ajax/default.html	(from http://www.w3schools.com/)
08:34:16	29353/29353	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:57:34%20GMT	http://www.w3schools.com/xsl/xpath_intro.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/xsl/xpath_intro.html	(from http://www.w3schools.com/)
08:34:16	29824/29824	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:38:42%20GMT	http://www.w3schools.com/xsl/xquery_intro.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/xsl/xquery_intro.html	(from http://www.w3schools.com/)
08:34:16	49008/49008	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2008:18:30%20GMT	http://www.w3schools.com/tags/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/default.html	(from http://www.w3schools.com/)
08:34:16	48089/48089	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:27:47%20GMT	http://www.w3schools.com/tags/ref_eventattributes.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/ref_eventattributes.html	(from http://www.w3schools.com/)
08:34:16	72934/72934	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:34:36%20GMT	http://www.w3schools.com/tags/ref_attributes.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/ref_attributes.html	(from http://www.w3schools.com/)
08:34:16	44903/44903	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:21:03%20GMT	http://www.w3schools.com/tags/ref_canvas.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/tags/ref_canvas.html	(from http://www.w3schools.com/)
08:34:16	51291/51291	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:33:57%20GMT	http://www.w3schools.com/graphics/svg_reference.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/graphics/svg_reference.html	(from http://www.w3schools.com/)
08:34:17	40788/40788	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:59:31%20GMT	http://www.w3schools.com/graphics/google_maps_reference.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/graphics/google_maps_reference.html	(from http://www.w3schools.com/)
08:34:17	83612/83612	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:15:10%20GMT	http://www.w3schools.com/cssref/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/cssref/default.html	(from http://www.w3schools.com/)
08:34:17	50237/50237	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:58:05%20GMT	http://www.w3schools.com/cssref/css_selectors.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/cssref/css_selectors.html	(from http://www.w3schools.com/)
08:34:17	81803/81803	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:49:43%20GMT	http://www.w3schools.com/w3css/w3css_references.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/w3css/w3css_references.html	(from http://www.w3schools.com/)
08:34:17	40752/40752	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:19:23%20GMT	http://www.w3schools.com/bootstrap/bootstrap_ref_css_text.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/bootstrap/bootstrap_ref_css_text.html	(from http://www.w3schools.com/)
08:34:17	46271/46271	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2006:47:45%20GMT	http://www.w3schools.com/jsref/default.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/jsref/default.html	(from http://www.w3schools.com/)
08:34:17	39755/39755	------	200	untouched ('OK')	text/html	date:Fri,%2016%20Sep%202016%2007:18:32%20GMT	http://www.w3schools.com/jquery/jquery_ref_selectors.asp	C:/My%20Web%20Sites/W3SKUL/www.w3schools.com/jquery/jquery_ref_selectors.html	(from http://www.w3schools.com/)
